"Daily Weather Observations for Darwin, Northern Territory for September 2022"
"Prepared at 13:03 UTC on Friday 14 October 2022   IDCJDW8014.202209"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-09-1,24.8,33.2,0,6.4,10.7,NW,31,15:07,28.7,72,1,NE,7,1013.1,32.0,58,3,NNW,19,1009.9
,2022-09-2,24.4,32.2,0,5.8,9.2,NW,30,13:57,29.0,70,1,NNE,9,1013.7,31.7,55,2,NNW,15,1009.8
,2022-09-3,24.0,34.2,0.4,5.2,8.4,SSE,31,11:26,25.4,89,7,SE,9,1012.6,32.9,44,2,E,15,1008.5
,2022-09-4,22.6,33.0,0.2,6.2,11.0,E,30,10:46,26.1,84,3,SE,13,1013.0,31.4,57,1,NNW,19,1009.1
,2022-09-5,23.6,32.1,0,7.0,10.6,NW,31,14:15,27.4,74,3,NE,9,1013.9,30.5,58,1,NNW,15,1009.7
,2022-09-6,23.4,32.1,0,6.6,11.1,NW,37,13:38,27.4,70,2,E,9,1013.7,31.3,50,1,NNW,15,1009.5
,2022-09-7,22.9,32.4,0,7.0,10.9,WNW,30,14:05,26.7,71,1,NE,11,1014.7,31.1,51,1,NW,15,1011.3
,2022-09-8,22.4,32.7,0,7.4,10.9,WNW,33,15:33,28.0,74,5,WSW,7,1014.8,31.5,58,1,WNW,26,1011.0
,2022-09-9,23.1,32.6,0,5.8,10.4,NW,31,14:59,28.9,65,1,NNE,6,1014.3,31.2,56,1,NW,22,1011.1
,2022-09-10,24.5,33.2,0,7.0,11.3,NW,28,14:15,29.3,65,3,NE,6,1014.5,31.7,56,1,NW,19,1009.6
,2022-09-11,25.1,33.1,0,7.4,10.9,WNW,30,12:25,28.9,62,3,NNW,11,1013.6,32.1,50,2,WNW,15,1009.6
,2022-09-12,25.7,33.3,0,7.4,9.4,NW,30,14:46,29.1,67,1,NW,9,1013.3,32.2,57,3,NW,20,1009.8
,2022-09-13,25.2,35.2,0,6.4,10.7,NW,31,13:44,28.5,71,4,ENE,17,1015.6,31.8,58,2,N,22,1012.0
,2022-09-14,25.3,37.4,0,6.2,11.3,NE,35,11:45,28.8,76,1,SSW,11,1015.9,33.1,52,1,NNW,19,1012.1
,2022-09-15,24.4,34.9,0,7.6,10.8,NNE,35,12:24,29.7,70,3,NNW,7,1014.8,34.1,39,1,N,19,1009.6
,2022-09-16,24.3,33.1,0,8.2,9.3,WNW,31,13:12,28.4,74,6,NW,9,1012.7,32.1,56,3,NW,19,1009.4
,2022-09-17,24.9,33.9,0,5.8,8.9,NW,30,16:18,28.0,81,4,SSE,11,1013.0,32.3,56,5,NW,20,1008.7
,2022-09-18,25.1,33.7,0,6.8,10.9,NW,30,14:38,29.9,70,7,WNW,6,1013.6,32.8,57,7,NW,20,1009.6
,2022-09-19,25.7,34.6,0,6.6,10.6,NNE,35,17:34,29.6,67,3,WSW,6,1013.6,33.4,51,2,NNW,17,1009.5
,2022-09-20,26.4,34.6,0,6.4,10.1,N,31,16:27,29.9,67,1,SSW,13,1014.0,33.8,50,2,NNW,15,1009.5
,2022-09-21,25.7,36.9,0,8.6,10.9,NNE,43,15:14,30.8,59,2,ENE,11,1012.9,34.8,44,5,N,30,1008.5
,2022-09-22,24.9,36.1,0,8.6,10.5,NE,56,12:43,29.6,66,7,ENE,11,1014.6,32.7,55,2,NNW,20,1009.7
,2022-09-23,25.8,34.2,0,8.8,8.1,NNW,31,14:31,30.5,64,3,N,7,1012.7,32.4,60,3,NW,20,1008.4
,2022-09-24,26.3,34.1,0,6.2,9.0,NW,28,13:32,29.7,72,5,S,6,1011.6,33.3,55,1,NW,19,1007.1
,2022-09-25,27.4,33.1,0,7.0,9.0,NW,37,15:44,29.5,73,5,NW,13,1012.0,32.0,61,3,NW,28,1007.6
,2022-09-26,24.9,35.3,2.4,4.8,10.0,N,37,13:50,29.4,71,2,NE,6,1011.0,34.3,46,3,NNW,20,1007.0
,2022-09-27,25.7,33.3,0,8.2,6.5,NW,30,13:43,30.4,67,7,NW,9,1010.5,32.3,50,2,WNW,19,1007.4
,2022-09-28,25.3,32.0,0,7.0,2.6,E,57,17:35,30.2,66,6,E,7,1010.8,30.0,69,7,NW,13,1007.4
,2022-09-29,23.1,32.8,9.6,6.8,7.2,ENE,41,14:15,27.1,81,7,E,20,1011.7,32.0,50,6,NE,22,1009.3
,2022-09-30,25.6,36.0,0,3.8,10.8,ENE,41,10:21,30.3,62,3,ENE,20,1012.5,34.7,39,5,NNE,31,1008.0