"Daily Weather Observations for Mildura, Victoria for September 2022"
"Prepared at 13:01 UTC on Friday  7 October 2022   IDCJDW3051.202209"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mildura Airport {station 076031}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-09-1,2.3,19.6,0,,,NW,24,12:55,10.3,75,,NE,2,1024.2,18.1,35,,WSW,9,1022.1
,2022-09-2,5.5,16.3,0,,,SSE,39,14:51,9.5,80,,SSE,20,1029.5,14.6,41,,S,24,1027.7
,2022-09-3,2.0,17.1,0,,,SE,46,11:47,8.7,75,,S,19,1031.8,16.8,40,,E,20,1028.2
,2022-09-4,3.2,17.7,0,,,SE,28,11:15,9.4,80,,SSE,13,1030.5,17.2,40,,S,13,1026.5
,2022-09-5,3.3,16.8,0,,,SE,24,09:34,9.3,76,,SE,15,1027.2,16.2,41,,S,9,1023.0
,2022-09-6,3.2,20.3,0,,,NNE,37,13:01,8.9,83,,ESE,7,1023.3,19.6,30,,E,6,1018.4
,2022-09-7,8.9,22.5,0,,,NNE,41,13:57,14.6,56,8,ENE,19,1016.1,18.7,59,8,NE,20,1011.0
,2022-09-8,12.7,18.6,17.4,,,ENE,43,00:08,13.4,100,8,W,13,1005.0,16.4,68,8,NNW,15,1004.7
,2022-09-9,12.0,20.3,1.6,,,WSW,44,16:53,14.2,78,7,NW,15,1007.5,19.4,51,6,W,24,1006.8
,2022-09-10,10.0,17.5,0.4,,,WSW,41,01:56,13.5,69,,SW,19,1017.2,16.2,47,7,WSW,17,1016.8
,2022-09-11,5.6,16.6,0,,,W,31,14:05,11.5,62,,SSW,7,1021.3,16.6,47,2,W,13,1018.7
,2022-09-12,4.7,16.7,0,,,SW,30,16:52,10.0,88,,SSW,6,1023.0,14.9,58,8,SW,13,1021.8
,2022-09-13,3.5,18.9,0,,,NE,26,10:18,10.6,70,7,E,15,1028.6,18.1,38,2,N,9,1024.4
,2022-09-14,9.2,19.0,0,,,NNE,44,10:01,14.3,49,,NE,24,1020.3,16.3,72,8,NNE,15,1015.8
,2022-09-15,7.5,20.4,2.2,,,WNW,31,15:18,13.7,78,,SSW,15,1010.9,20.2,31,,NW,19,1007.0
,2022-09-16,9.7,20.5,0,,,NW,59,14:49,15.0,65,,NW,20,1005.3,18.4,42,8,NW,20,1002.0
,2022-09-17,7.1,17.5,0.4,,,WNW,54,12:41,12.6,68,1,NW,24,1007.3,14.1,84,7,WNW,30,1006.6
,2022-09-18,9.5,19.1,1.2,,,WNW,41,15:32,12.5,67,8,NW,17,1014.5,17.7,46,8,WNW,20,1012.4
,2022-09-19,3.7,18.5,0,,,W,22,15:40,12.3,73,,NNE,2,1020.5,17.6,38,,NW,11,1017.4
,2022-09-20,7.5,22.2,0,,,NNE,44,10:30,16.2,48,,NNE,26,1016.7,21.6,29,6,NE,26,1011.1
,2022-09-21,12.4,18.4,22.0,,,SW,43,14:45,15.1,98,8,S,7,1008.5,16.1,83,8,SW,20,1011.4
,2022-09-22,14.0,19.8,0,,,SSE,26,15:44,15.3,89,8,SW,15,1019.0,18.1,74,7,SSW,15,1016.3
,2022-09-23,10.6,20.8,0,,,SW,31,14:51,15.8,78,8,S,9,1017.9,19.9,49,2,SW,19,1015.5
,2022-09-24,10.3,18.9,1.8,,,SSE,26,08:16,12.6,83,2,SSE,13,1018.3,17.5,45,3,SW,7,1015.6
,2022-09-25,5.3,23.6,0.2,,,N,28,11:38,14.4,63,,NE,19,1016.6,22.4,43,6,WNW,11,1013.9
,2022-09-26,12.6,19.9,4.0,,,SW,33,15:26,15.4,89,5,E,13,1013.7,19.3,74,7,W,7,1012.2
,2022-09-27,8.3,18.0,2.2,,,SSW,46,16:38,10.5,86,8,W,17,1015.4,16.9,50,1,SW,22,1013.4
,2022-09-28,10.2,18.8,0.8,,,S,43,09:43,13.6,78,8,SSW,22,1018.9,18.0,61,8,S,19,1018.6
,2022-09-29,7.7,19.5,0,,,SSW,33,11:25,12.1,74,,S,17,1026.0,18.7,46,,S,15,1023.6
,2022-09-30,6.8,21.4,0.2,,,SSE,19,14:19,13.2,81,,SE,9,1026.7,20.8,42,,W,7,1023.3